""	205
"cloudcompeller"	1
"clouds"	15
"cloudy"	2
"clout"	2
"cluck"	1
"clucking"	1
"clue"	1
"clumsy"	3
"clusters"	1
"clutched"	2
"cluttered"	2
"cnobites"	1
"co"	2
"coarse"	5
"coarsely"	1
"coarser"	2
"coarsest"	2
"coast"	8
"coastwise"	1
"coat"	13
"coats"	4
"cobblers"	1
"cobs"	2
"cobweb"	2
"cock"	2
"cockcrowing"	1
"cockerel"	1
"cockerels"	2
"cocoanut"	1
"cod"	1
"coddling"	1
"code"	1
"codes"	1
"codline"	1
"codman"	1
"coeval"	1
"coffee"	10
"coffeemill"	1
"coffinmaker"	1
"coffinthe"	1
"cognate"	1
"cohabit"	2
"coil"	2
"coin"	1
"coincide"	1
"coincidence"	2
"coincident"	1
"coins"	3
"cold"	33
"colder"	4
"coldest"	3
"coleman"	1
"colemans"	1
"colic"	1
"collapsed"	1
"collect"	5
"collected"	5
"collection"	5
"collections"	1
"collectively"	1
"college"	6
"collegebred"	1
"colleges"	3
"collins"	2
"colloquies"	1
"colonel"	1
"colonies"	1
"colony"	4
"color"	24
"colorado"	1
"colored"	5
"coloring"	1
"colorless"	2
"colors"	9
"columbia"	1
"columbus"	1
"columns"	3
"colymbus"	1
"comb"	1
"combat"	4
"combatants"	3
"combine"	1
"combined"	1
"combustion"	2
"come"	96
"comes"	30
"comet"	1
"comfort"	5
"comfortable"	4
"comfortably"	4
"comforts"	7
"coming"	17
"comings"	2
"comitatus"	1
"command"	3
"commanded"	1
"commander"	1
"commanding"	1
"commemorate"	1
"commence"	2
"commenced"	5
"commences"	3
"comment"	2
"commentator"	1
"commerce"	7
"commercial"	2
"commit"	3
"committed"	4
"committee"	1
"commodious"	1
"commodities"	2
"commodity"	1
"commodore"	1
"common"	31
"commonest"	1
"commonly"	54
"commonness"	1
"commune"	2
"communicable"	1
"communicate"	1
"communicated"	1
"communicating"	1
"communication"	2
"communications"	2
"communities"	2
"community"	3
"compact"	2
"compactlet"	1
"compactlooking"	1
"compactly"	1
"companion"	9
"companionable"	1
"companions"	4
"company"	15
"companys"	1
"comparable"	1
"comparative"	2
"comparatively"	15
"compare"	3
"compared"	12
"comparison"	6
"comparisonis"	1
"comparisons"	1
"compass"	4
"compassion"	3
"compel"	2
"compelled"	8
"compensated"	1
"compensation"	2
"compilation"	1
"complacent"	1
"complain"	3
"complained"	1
"complaining"	1
"complaint"	3
"complaints"	1
"complemental"	1
"complete"	6
"completed"	2
"completely"	15
"completeness"	1
"complex"	2
"complexion"	1
"compliance"	5
"complicated"	3
"compliment"	2
"complimented"	1
"comply"	6
"complying"	3
"compose"	1
"composed"	5
"composition"	2
"compost"	3
"compound"	1
"comprehend"	1
"comprehended"	1
"compressed"	1
"compromise"	1
"computation"	1
"computer"	2
"computers"	2
"comrade"	1
"comrades"	2
"conceal"	2
"concealed"	10
"concealment"	1
"conceals"	1
"concede"	1
"conceited"	1
"conceive"	2
"conceiving"	1
"concentrated"	3
"concentric"	1
"concept"	2
"conceptions"	2
"concern"	7
"concerned"	18
"concerning"	6
"concerns"	3
"conclude"	1
"concluded"	8
"concluding"	1
"conclusion"	3
"conclusions"	2
"concord"	42
"concordiensis"	1
"concordwhere"	1
"concur"	1
"concurring"	1
"condemn"	1
"condemned"	1
"condensed"	2
"condescended"	1
"condiment"	1
"condition"	19
"conditions"	1
"conduces"	1
"conduct"	4
"conducted"	3
"conductor"	1
"coneheaded"	1
"cones"	2
"confederacy"	1
"confess"	7
"confessed"	1
"confesses"	1
"confessions"	1
"confidence"	2
"confident"	3
"confidently"	1
"confine"	2
"confined"	11
"confinement"	2
"confines"	1
"confirm"	1
"confirmation"	1
"confirmed"	3
"conflagrations"	1
"conflict"	1
"conflicting"	1
"confluent"	1
"conform"	2
"conformably"	1
"conforming"	2
"conformity"	5
"conforms"	1
"confound"	1
"confounded"	1
"confronts"	1
"confucius"	3
"confused"	1
"confusion"	1
"confutsee"	1
"congealed"	4
"congenial"	2
"congratulate"	1
"congratulation"	1
"congregate"	1
"congregation"	1
"congress"	2
"conical"	1
"conjecture"	1
"conjectured"	1
"conjecturing"	1
"conjure"	2
"conlucare"	1
"connect"	1
"connected"	2
"connecticut"	2
"connecting"	1
"connection"	1
"conquer"	1
"conquered"	1
"consanguinity"	1
"conscience"	7
"consciencein"	1
"consciences"	2
"conscientious"	2
"conscious"	9
"consciously"	2
"consciousness"	3
"consecrate"	2
"consecrated"	2
"consent"	1
"consented"	1
"consenting"	1
"consequence"	6
"consequences"	3
"consequent"	2
"consequential"	1
"consequently"	1
"consider"	17
"considerable"	7
"considerably"	6
"considerate"	1
"consideration"	2
"considered"	8
"considering"	5
"considers"	2
"consist"	4
"consisted"	1
"consistency"	2
"consistent"	1
"consisting"	1
"consolation"	2
"consolations"	1
"console"	1
"consoled"	1
"conspicuous"	5
"conspiracies"	1
"conspires"	1
"constables"	1
"constant"	7
"constantly"	5
"constellation"	1
"constellations"	1
"constituents"	1
"constitute"	1
"constitutes"	1
"constitution"	7
"constitutional"	1
"constitutions"	1
"constrain"	1
"construct"	3
"constructed"	4
"constructing"	2
"construction"	2
"consultation"	1
"consulted"	1
"consulting"	1
"consume"	1
"consumed"	1
"consumer"	1
"consumes"	1
"consummate"	1
"contact"	7
"contagion"	1
"contain"	11
"contained"	4
"containing"	4
"contains"	5
"contemplate"	3
"contemplated"	5
"contemplating"	3
"contemplation"	4
"contemplations"	2
"contemporaries"	6
"contemporary"	3
"contending"	1
"content"	5
"contented"	2
"contentedly"	1
"contentment"	4
"contents"	6
"contested"	1
"contiguous"	1
"continent"	3
"continents"	3
"continual"	1
"continually"	8
"continuance"	1
"continue"	5
"continued"	5
"continues"	1
"contract"	2
"contracted"	2
"contracting"	1
"contractor"	1
"contrast"	2
"contribute"	1
"contributed"	1
"contributions"	3
"contriving"	1
"control"	2
"convenience"	8
"conveniences"	1
"convenient"	5
"conventicle"	1
"convention"	1
"conventions"	1
"conversant"	1
"conversation"	5
"conversations"	1
"converse"	5
"conversed"	1
"conversing"	1
"convert"	1
"converted"	3
"convey"	1
"conveyance"	2
"conveying"	2
"convicted"	1
"convince"	4
"convinced"	4
"convinces"	1
"conviviality"	1
"convulse"	1
"convulsion"	1
"convulsive"	1
"cook"	7
"cooked"	5
"cookery"	3
"cooking"	4
"cookingstove"	1
"cooks"	1
"cool"	14
"cooled"	3
"coolest"	1
"cooly"	1
"cooperate"	1
"copartnership"	1
"cope"	1
"coperate"	3
"coperation"	2
"copernicus"	1
"copied"	3
"copies"	7
"copious"	1
"copper"	2
"copse"	2
"copy"	13
"copying"	4
"copyright"	19
"coquitoque"	1
"coral"	2
"corded"	2
"cordials"	1
"cords"	3
"core"	4
"cormorants"	1
"corn"	22
"corner"	6
"corners"	2
"cornfield"	3
"cornfields"	1
"cornice"	3
"cornices"	1
"cornparching"	1
"coronet"	1
"corporal"	1
"corporation"	5
"corporations"	1
"corpse"	1
"correct"	2
"corrected"	1
"correction"	1
"correspondent"	1
"corresponding"	7
"corrosion"	1
"corrugations"	1
"corrupt"	3
"corrupted"	1
"cortex"	1
"cosmical"	1
"cosmogonal"	2
"cosmopolite"	1
"cosmos"	1
"cost"	23
"costly"	2
"costs"	11
"costume"	4
"cottage"	7
"cottages"	1
"cotton"	3
"cottongrass"	1
"couch"	1
"cough"	1
"could"	182
"couldnt"	1
"council"	2
"count"	5
"countenance"	2
"countenanced"	1
"countenancewhy"	1
"counter"	1
"counterbalance"	1
"counterbalanced"	2
"counting"	4
"countries"	6
"country"	51
"countrygreater"	1
"countrymans"	1
"countrymen"	1
"countrys"	2
"countryto"	1
"county"	3
"couple"	5
"courage"	6
"courageous"	1
"course"	37
"coursing"	3
"court"	1
"courthouse"	1
"courtierlike"	1
"courts"	1
"courtyard"	2
"cousin"	2
"cousins"	1
"cove"	6
"cover"	11
"covered"	29
"covering"	2
"covers"	3
"coves"	7
"coveted"	2
"cow"	10
"cowards"	1
"cowbirds"	1
"cowboy"	2
"cowers"	1
"cowhide"	2
"cows"	2
"cowyard"	1
"cowyards"	1
"cr"	1
"crack"	8
"cracked"	2
"cracking"	2
"crackling"	1
"cracks"	1
"cradle"	1
"craft"	1
"cragor"	1
"cranberries"	1
"cranberry"	2
"cranes"	2
"crank"	1
"crash"	1
"crave"	1
"crawl"	1
"crawling"	1
"crawls"	1
"crazy"	1
"creaking"	2
"cream"	1
"creased"	1
"create"	2
"created"	7
"creating"	4
"creation"	9
"creations"	1
"creator"	1
"creature"	6
"creatures"	8
"credit"	4
"creditors"	1
"creeping"	5
"crept"	2
"crestwaving"	1
"crevice"	2
"crevices"	2
"crew"	2
"cried"	2
"cries"	1
"criesdrop"	1
"crimpled"	1
"crimson"	1
"crippled"	1
"crisis"	5
"crisp"	1
"critical"	2
"critically"	2
"criticism"	1
"croaking"	1
"cromwell"	1
"cronched"	1
"cronching"	1
"crooked"	2
"crop"	14
"cropping"	1
"crops"	7
"cross"	1
"crossed"	5
"crossing"	2
"crotchets"	1
"crow"	4
"crowd"	4
"crowded"	3
"crowding"	1
"crowds"	1
"crown"	1
"crsus"	1
"crucify"	1
"crudity"	1
"cruise"	1
"crumbled"	1
"crumbling"	1
"crumbs"	3
"crusaders"	1
"crushed"	2
"crushes"	1
"crushing"	1
"crust"	9
"crusty"	1
"cry"	6
"crydetermined"	1
"crying"	1
"crystal"	2
"crystalline"	1
"crystallization"	1
"crystals"	2
"csar"	2
"csars"	2
"cubic"	1
"cuckoos"	1
"cuffs"	1
"culinary"	1
"culminates"	1
"cultivate"	5
"cultivated"	15
"cultivating"	1
"cultivation"	2
"cultivator"	4
"cultivators"	1
"culture"	8
"culturegeniuslearningwitbookspaintingsstatuarymusic"	1
"cumbrous"	1
"cummings"	1
"cunning"	2
"cunningly"	2
"cup"	4
"cupbearer"	1
"cupboard"	2
"cupreous"	1
"cups"	1
"cur"	1
"curacy"	1
"cure"	4
"cured"	1
"cures"	1
"curiosity"	2
"curious"	11
"curled"	1
"curls"	1
"current"	4
"currents"	3
"curry"	1
"curs"	1
"curse"	2
"cursed"	1
"curses"	1
"cursing"	1
"curtain"	1
"curtains"	1
"curves"	1
"curvewith"	1
"cushion"	1
"cushions"	1
"custom"	4
"customer"	1
"customers"	3
"customs"	5
"cut"	38
"cuticle"	1
"cuts"	3
"cutters"	1
"cutting"	7
"cuttingsville"	2
"cyclopdia"	1
"cylindrically"	1
"cynosure"	2
"cypress"	3
"czar"	1
"d"	3
"dabbling"	1
"dacelike"	1
"daily"	23
"dainty"	1
"daisies"	1
"dale"	2
"damage"	3
"damaged"	1
"damages"	4
"dame"	2
"damnable"	1
"damodara"	1
"dams"	1
"damus"	1
"dance"	2
"dancing"	1
"dandelion"	1
"danger"	9
"dangerous"	3
"dangers"	1
"dangerwhat"	1
"dangled"	1
"dank"	1
"dantes"	1
"dapes"	1
"dappui"	1
"dare"	1
"dark"	36
"darkened"	1
"darkening"	2
"darker"	5
"darkest"	2
"darkness"	11
"darknessbut"	1
"dart"	2
"darting"	1
"darwin"	1
"dash"	3
"dashed"	2
"dashes"	1
"dashing"	1
"data"	1
"date"	8
"dated"	1
"dates"	1
"dating"	1
"daubed"	2
"daughter"	3
"daunted"	1
"davenants"	1
"david"	6
"davis"	1
"dawn"	10
"dawning"	2
"dawns"	2
"day"	177
"daybooks"	1
"dayfarther"	1
"daylabor"	2
"daylaborer"	1
"daylight"	3
"days"	77
"daywith"	1
"dazzled"	1
"dazzling"	2
"de"	1
"deacons"	1
"dead"	28
"deadandalive"	1
"deadly"	2
"deaf"	3
"deal"	13
"dealing"	1
"dealings"	1
"dear"	3
"dearly"	3
"dearth"	1
"death"	12
"debate"	1
"debauched"	1
"debt"	2
"debtor"	1
"decay"	3
"decayed"	2
"decaying"	3
"deceived"	1
"december"	4
"decent"	1
"decently"	2
"decide"	3
"decided"	2
"decipher"	1
"decision"	1
"deck"	1
"declare"	1
"declared"	3
"declares"	1
"decline"	1
"declined"	4
"deductible"	1
"deducting"	1
"deed"	6
"deeds"	8
"deem"	1
"deemed"	1
"deep"	55
"deepened"	2
"deepens"	1
"deeper"	9
"deepest"	14
"deepnot"	1
"deer"	2
"defaced"	1
"defeated"	1
"defect"	4
"defective"	3
"defects"	1
"defence"	4
"defend"	2
"defended"	1
"defender"	1
"defensive"	1
"defiant"	1
"deficiency"	2
"deficient"	1
"defiled"	1
"defileth"	1
"defiling"	1
"defined"	1
"defines"	1
"defingito"	1
"definite"	2
"definition"	2
"deformed"	1
"defrauding"	1
"defraying"	1
"defying"	1
"degeneracy"	1
"degenerate"	4
"degraded"	8
"degradeth"	1
"degree"	13
"degrees"	4
"deity"	1
"dejection"	1
"del"	2
"delay"	4
"delayed"	1
"delectable"	1
"deletions"	1
"deliberate"	1
"deliberately"	10
"deliberating"	1
"deliberation"	2
"delicacy"	1
"delicate"	9
"delicious"	1
"delight"	4
"delights"	2
"deliquium"	1
"delirium"	1
"deliver"	1
"dells"	2
"delphi"	1
"deluded"	1
"deluge"	1
"delusion"	1
"delusions"	1
"delved"	1
"demagogue"	1
"demand"	9
"demanded"	3
"demands"	3
"demigod"	1
"demigods"	2
"democracy"	2
"democratic"	1
"demon"	2
"demoniac"	2
"demoniacally"	1
"demurred"	1
"denial"	1
"denied"	1
"denizensnow"	1
"denomination"	1
"dense"	2
"densely"	1
"dent"	3
"dents"	1
"deny"	4
"denying"	1
"departed"	5
"departing"	1
"departure"	3
"depend"	5
"depends"	3
"deposited"	5
"depositing"	1
"deposits"	1
"depot"	3
"depreciated"	1
"depsticium"	1
"depth"	20
"depths"	4
"der"	1
"derision"	1
"derivation"	1
"derivative"	4
"derive"	2
"derived"	5
"deriving"	1
"dervish"	1
"des"	2
"descend"	3
"descendants"	1
"descended"	1
"descending"	3
"descent"	1
"describe"	1
"described"	7
"describes"	3
"describing"	2
"description"	5
"desert"	2
"deserted"	3
"deserters"	1
"deserts"	2
"deserve"	3
"deserves"	3
"design"	4
"designed"	1
"designs"	4
"desirable"	5
"desire"	10
"desired"	2
"desires"	1
"desirous"	2
"desk"	4
"despair"	6
"despaired"	2
"despairs"	1
"despatch"	1
"despatched"	1
"desperate"	9
"desperation"	2
"despicable"	2
"despised"	1
"despite"	1
"desponding"	1
"dessert"	1
"destination"	1
"destined"	4
"destiny"	4
"destroy"	4
"destroyed"	3
"destroying"	1
"destroys"	3
"destruction"	2
"detach"	1
"detail"	2
"details"	5
"detailthinking"	1
"detain"	1
"detained"	2
"detect"	12
"detected"	4
"deter"	1
"determine"	2
"determined"	9
"determines"	1
"deterred"	3
"deterring"	1
"detriment"	2
"deucalion"	1
"devastation"	1
"developed"	5
"developing"	2
"development"	3
"devil"	6
"devilish"	1
"devils"	4
"devised"	1
"devote"	7
"devoted"	5
"devotes"	1
"devoting"	1
"devotion"	2
"devour"	3
"devoured"	1
"dew"	7
"dewand"	1
"dews"	3
"dewy"	1
"diabolical"	1
"diagonal"	1
"dialect"	2
"dialects"	2
"dialogues"	1
"diameter"	13
"diameters"	1
"diamond"	1
"diamonds"	1
"dictates"	1
"dictionary"	1
"did"	137
"didnt"	1
"die"	6
"died"	6
"diedblossoming"	1
"dies"	4
"diet"	7
"dietdrink"	1
"dietetic"	1
"diethat"	1
"differ"	3
"difference"	12
"different"	14
"differently"	2
"difficult"	7
"difficulties"	2
"difficulty"	1
"diffused"	1
"dig"	5
"digby"	1
"digest"	1
"digested"	1
"digestive"	1
"digging"	6
"dignified"	1
"dignitary"	1
"dignity"	3
"dijlah"	1
"dilapidated"	1
"dilating"	2
"dilettantism"	1
"diligent"	1
"diligently"	1
"dilute"	1
"diluvian"	1
"dim"	5
"dimensions"	1
"diminish"	1
"diminished"	1
"dimly"	1
"dimple"	1
"dimples"	4
"dimpling"	3
"din"	2
"dined"	1
"dingy"	1
"dining"	2
"dinner"	24
"dinnerparties"	1
"dinners"	3
"dinnertable"	1
"dinning"	1
"dip"	2
"dipped"	2
"dipper"	2
"direct"	4
"directed"	7
"direction"	14
"directions"	6
"directly"	19
"director"	1
"dirt"	9
"dirty"	5
"disadvantage"	2
"disadvantageliving"	1
"disafforested"	1
"disappear"	4
"disappeared"	6
"disappearing"	2
"disappears"	2
"disappointed"	4
"disapprove"	1
"discern"	3
"discerned"	2
"discerns"	1
"discharge"	2
"discharged"	2
"discharges"	1
"discipline"	2
"disclaim"	1
"disclaimer"	3
"disclaimers"	1
"discolored"	1
"discomfiture"	2
"disconsolate"	1
"discontent"	1
"discontented"	2
"discontinue"	1
"discordant"	1
"discords"	1
"discourage"	1
"discourse"	2
"discoursed"	1
"discover"	8
"discovered"	16
"discoverers"	1
"discoveries"	3
"discovering"	2
"discovers"	2
"discovery"	2
"discretion"	1
"discriminates"	1
"discriminating"	1
"discrimination"	1
"discussed"	1
"disease"	6
"diseased"	2
"diseases"	1
"disgorge"	1
"disgrace"	5
"disgracing"	1
"disguise"	1
"disgust"	1
"disgusts"	1
"dish"	4
"dishabille"	1
"disheartens"	1
"dishes"	3
"dishonest"	1
"disinterested"	1
"disk"	2
"dismal"	4
"dismis"	1
"dismiss"	1
"disobedience"	8
"disorder"	1
"disown"	1
"dispel"	1
"dispense"	1
"dispensing"	1
"disperse"	2
"dispersed"	1
"disperses"	1
"dispersing"	1
"display"	1
"displayed"	2
"displaying"	5
"dispose"	1
"disposed"	5
"disposition"	2
"dispute"	1
"disputed"	1
"disregard"	2
"disregarded"	1
"disregards"	1
"disreputable"	1
"dissipate"	1
"dissipated"	1
"dissipates"	1
"dissipating"	1
"dissipation"	3
"dissolve"	4
"dissolved"	2
"dissolves"	1
"distance"	28
"distancehoo"	1
"distancei"	1
"distances"	2
"distant"	33
"distantly"	1
"distend"	1
"distended"	1
"distention"	1
"distilled"	1
"distiller"	1
"distinct"	8
"distinction"	3
"distinctions"	4
"distinctly"	9
"distinguish"	3
"distinguishable"	2
"distinguished"	15
"distinguishes"	2
"distorted"	1
"distract"	1
"distracted"	1
"distraction"	2
"distress"	2
"distressed"	1
"distribute"	7
"distributed"	6
"distributing"	7
"distribution"	6
"distributor"	1
"disturb"	2
"disturbance"	3
"disturbed"	6
"disturber"	1
"disturbs"	1
"ditch"	1
"ditcher"	1
"ditty"	1
"divans"	1
"dive"	3
"dived"	4
"diverged"	1
"diverging"	1
"divert"	1
"dives"	2
"divest"	1
"divested"	3
"divided"	3
"dividers"	1
"divides"	2
"dividing"	1
"divine"	12
"divining"	2
"diviningrod"	1
"divinity"	4
"division"	2
"divisions"	1
"divulge"	1
"do"	246
"dobbin"	1
"dobson"	1
"docks"	1
"doctors"	4
"doctrine"	1
"doctrines"	1
"documenta"	1
"dodged"	1
"dodona"	1
"does"	103
"dofor"	1
"dog"	11
"dogday"	1
"dogging"	1
"dogs"	9
"dogwood"	1
"doing"	24
"doinggood"	1
"doleful"	1
"dolia"	1
"dollar"	10
"dollars"	21
"dolphin"	1
"domain"	2
"domestic"	8
"domesticated"	2
"don"	3
"donate"	3
"donation"	1
"donations"	15
"done"	41
"donned"	2
"donors"	1
"donot"	1
"dont"	4
"dontchickareechickaree"	1
"door"	47
"doorknobs"	1
"doors"	13
"doorsill"	1
"doorstone"	1
"doorswhy"	1
"doorway"	3
"dormant"	2
"doses"	1
"dost"	1
"dots"	1
"dotted"	3
"double"	3
"doubled"	1
"doubleness"	2
"doublepointed"	1
"doubly"	1
"doubt"	33
"doubted"	2
"doubtful"	1
"doubtless"	2
"dough"	1
"dove"	2
"dovecots"	1
"doves"	1
"down"	114
"downloading"	1
"downward"	10
"downy"	1
"dowork"	1
"dozen"	14
"dr"	2
"drab"	1
"drag"	1
"dragged"	1
"dragging"	2
"draggletail"	1
"dragon"	1
"drain"	1
"drained"	2
"drama"	2
"drank"	5
"drastic"	1
"draught"	4
"draughts"	1
"draw"	4
"drawing"	3
"drawn"	3
"draws"	1
"dread"	1
"dream"	5
"dreamed"	5
"dreaming"	3
"dreams"	7
"drear"	1
"dreary"	1
"drenched"	1
"drenching"	1
"dresden"	1
"dress"	8
"dressed"	3
"dressing"	2
"dressmaker"	1
"dressof"	1
"drew"	5
"dried"	8
"drier"	1
"drift"	1
"drifted"	4
"drifts"	4
"driftwood"	3
"drillbarrow"	1
"drillbarrows"	1
"drink"	21
"drinking"	2
"drinks"	1
"dripping"	2
"drivable"	1
"drive"	6
"driven"	9
"driver"	1
"driving"	5
"drone"	1
"drooling"	1
"droop"	1
"drooped"	1
"drooping"	1
"drop"	10
"droplike"	1
"dropped"	7
"dropping"	1
"drops"	1
"dropsical"	1
"dross"	2
"drove"	2
"drovers"	2
"droves"	1
"drown"	3
"drowned"	2
"drowning"	3
"drowsiness"	1
"drowsy"	1
"drudgery"	1
"druids"	1
"drum"	1
"drumhead"	1
"drummer"	1
"drumsticks"	1
"drunk"	3
"drunkard"	1
"drunkenness"	1
"dry"	30
"drying"	1
"dryness"	1
"dubious"	1
"duck"	2
"ducking"	1
"duckling"	1
"ducks"	12
"due"	6
"duellum"	1
"dug"	8
"dull"	7
"dullest"	1
"dulness"	3
"dum"	1
"dumb"	1
"dumbwaiters"	1
"dumps"	1
"dun"	1
"duncan"	1
"dungings"	1
"duration"	2
"during"	13
"durum"	1
"dusk"	1
"dusky"	2
"dust"	15
"dustclothwhich"	1
"dusted"	3
"dusty"	3
"dutch"	1
"duties"	2
"duty"	16
"dwarfs"	1
"dwell"	9
"dwelling"	13
"dwellinghouse"	2
"dwellings"	6
"dwells"	4
"dwelt"	10
"dwindled"	2
"dyed"	1
"dying"	9
"dynasties"	1
"dynasty"	2
"dyspepsia"	1
"e"	23
"each"	60
"eager"	1
"eagerly"	1
"eagles"	1
"ear"	17
"earlier"	6
"earliest"	8
"early"	28
"earn"	7
"earned"	9
"earnest"	10
"earnestly"	5
"earning"	4
"earrending"	1
"ears"	11
"earth"	80
"earthen"	1
"earthiness"	1
"earthly"	2
"earths"	3
"earthy"	1
"ease"	2
"easier"	4
"easiest"	1
"easily"	21
"east"	9
"eastern"	2
"eastto"	1
"eastward"	2
"eastwind"	1
"easy"	10
"eat"	23
"eaten"	9
"eating"	10
"eats"	1
"eaves"	1
"ebook"	11
"ebooks"	7
"ebriosity"	1
"echo"	5
"echoed"	2
"echoes"	6
"economic"	1
"economical"	1
"economized"	1
"economy"	10
"ecstasy"	1
"eden"	1
"edge"	14
"edges"	2
"edifying"	1
"edit"	1
"edition"	2
"editions"	4
"editor"	1
"editors"	1
"educate"	2
"educated"	3
"education"	7
"educational"	1
"educationmake"	1
"eels"	2
"eer"	1
"effect"	15
"effective"	1
"effectively"	1
"effects"	7
"effectual"	4
"effectually"	6
"effeminate"	1
"effete"	1
"effort"	10
"efforts"	5
"egg"	5
"eggs"	5
"egotism"	1
"egypt"	1
"egyptian"	5
"eight"	13
"eighteen"	4
"eightfeet"	1
"eighth"	3
"eighths"	2
"eightieth"	1
"eighty"	3
"ein"	1
"either"	24
"ejaculates"	1
"ejaculation"	1
"eke"	1
"elaborate"	1
"elaborateness"	1
"elapsed"	4
"elastic"	5
"elasticity"	2
"elbow"	1
"elbows"	2
"elder"	1
"elderly"	2
"elect"	2
"election"	1
"electrifying"	1
"electronic"	27
"electronically"	2
"elegance"	1
"element"	5
"elemental"	1
"elements"	10
"elevate"	1
"elevated"	5
"elevating"	1
"elevation"	5
"eleven"	2
"elicited"	1
"elizabeth"	1
"elizabethan"	1
"elm"	1
"elms"	1
"elmtree"	1
"eloquence"	4
"eloquent"	1
"eloquently"	1
"else"	22
"elsewhere"	12
"elysian"	1
"emacem"	1
"email"	3
"emasculated"	1
"embankment"	1
"embers"	1
"embodiment"	1
"embraced"	1
"embraces"	3
"embracing"	1
"embroidered"	1
"embryo"	1
"emerald"	2
"emerged"	1
"emerges"	1
"eminent"	2
"emit"	1
"emits"	1
"emperor"	1
"emperors"	2
"emphasis"	4
"emphasizing"	2
"empire"	6
"empires"	1
"employ"	2
"employed"	9
"employee"	2
"employees"	2
"employer"	2
"employing"	1
"employment"	7
"employments"	1
"employs"	1
"emptied"	3
"emptiness"	1
"empty"	7
"emptyhanded"	1
"emulate"	1
"enable"	3
"enabled"	2
"enacted"	1
"encircling"	1
"encoding"	1
"encountered"	2
"encourage"	1
"encouragement"	2
"encouraging"	3
"encroachments"	2
"encumbered"	1
"encumbrance"	3
"encumbrances"	3
"end"	58
"endall"	1
"endangered"	1
"endeavor"	12
"endeavored"	4
"endeavoring"	8
"endeavors"	3
"ending"	1
"endless"	1
"endowed"	1
"ends"	6
"endurance"	1
"endure"	1
"enduring"	3
"enemies"	6
"enemy"	4
"energetically"	1
"energy"	4
"enervates"	1
"engage"	2
"engaged"	6
"engagement"	1
"engagements"	2
"engine"	7
"engineer"	2
"engineers"	1
"engines"	2
"england"	31
"englander"	3
"englands"	1
"english"	20
"englishman"	1
"englishmen"	2
"engraven"	2
"enhance"	1
"enhanced"	2
"enjoy"	16
"enjoyed"	5
"enjoying"	1
"enjoyment"	3
"enjoys"	1
"enlighten"	1
"enlightened"	4
"enlist"	1
"ennui"	4
"enormity"	1
"enormous"	2
"enough"	72
"enriched"	1
"enslave"	1
"ensuring"	1
"entangled"	1
"enter"	2
"entered"	3
"entereth"	1
"entering"	3
"enterprise"	13
"enterprised"	1
"enterprises"	6
"enterprising"	1
"entertain"	6
"entertained"	5
"entertainment"	7
"entertainments"	2
"entertains"	1
"enthusiasm"	1
"entire"	2
"entirely"	5
"entireness"	1
"entitled"	3
"entitles"	1
"entity"	4
"entomologists"	1
"entrance"	4
"entries"	1
"entry"	4
"enumerating"	1
"envelop"	1
"environ"	1
"epaulet"	1
"epidermis"	1
"epitaph"	1
"epitome"	1
"epochs"	1
"equable"	2
"equal"	13
"equalled"	1
"equally"	13
"equals"	1
"equilibrium"	2
"equipage"	1
"equipment"	3
"equivalent"	2
"era"	1
"eradication"	1
"eras"	1
"ere"	11
"erect"	9
"erected"	1
"erit"	1
"errand"	3
"errands"	1
"erret"	1
"error"	6
"errors"	1
"eruption"	1
"escape"	5
"escaped"	4
"escort"	1
"esculents"	1
"esoteric"	1
"especially"	21
"esquimaux"	2
"esquire"	1
"esse"	1
"essence"	1
"essential"	8
"essentially"	6
"essentials"	1
"establish"	4
"established"	5
"establishment"	2
"estate"	2
"estates"	1
"esteem"	3
"esteemed"	5
"esteeming"	1
"estimate"	2
"estimated"	1
"estimates"	2
"estimation"	1
"estivate"	1
"et"	6
"etc"	1
"eternal"	2
"eternities"	1
"eternity"	5
"etesian"	1
"etext"	1
"ether"	5
"ethereal"	3
"ethics"	1
"etiquette"	1
"eugenius"	1
"eulogies"	1
"europe"	2
"european"	1
"eurus"	1
"evangelist"	1
"evaporate"	1
"evaporation"	2
"evaporations"	1
"eve"	2
"evelyn"	2
"even"	181
"evenfor"	1
"evening"	47
"evenings"	5
"evenly"	1
"event"	5
"eventful"	1
"eventide"	1
"events"	4
"evenworks"	1
"ever"	95
"evergreen"	1
"evergreens"	2
"everlasting"	2
"everlastingly"	1
"every"	141
"everybody"	1
"everything"	2
"everywhere"	4
"evidence"	2
"evidences"	2
"evident"	4
"evidently"	1
"evil"	16
"evils"	1
"evincing"	1
"evitable"	1
"evocataas"	1
"evry"	1
"exact"	2
"exacting"	1
"exactly"	10
"exaggerate"	3
"exalted"	2
"examine"	1
"examined"	1
"examining"	1
"example"	2
"exceedingly"	2
"exceeds"	2
"excellent"	3
"except"	16
"excepted"	1
"excepting"	10
"exception"	3
"exceptions"	1
"excess"	3
"excessive"	1
"exchange"	7
"exchanged"	3
"excitable"	1
"excite"	3
"excited"	4
"excitement"	1
"exciting"	1
"exclaim"	2
"exclaimby"	1
"exclaimed"	1
"exclude"	1
"excluded"	1
"excluding"	1
"exclusion"	2
"exclusively"	3
"exclusiveness"	1
"excommunicate"	1
"excrement"	1
